,name,age,gender,score
96,Meera,21.0,nan,10.0
97,Ayaan,21.0,M,
98,Rahul,,nan,10.0
99,Saanvi,21.0,M,10.0
100,Zoya,21.0,M,
101,Vikram,21.0,nan,
102,Saanvi,21.0,nan,10.0
103,Zoya,21.0,F,
104,Ananya,,nan,
105,Zoya,21.0,nan,
106,Zoya,,F,
107,Ananya,,nan,10.0
108,Ananya,,F,10.0
109,Ayaan,,M,10.0
110,Ananya,,F,10.0
111,Pooja,21.0,M,
112,Zoya,,F,10.0
113,Saanvi,,F,10.0
114,nan,,M,10.0
115,Ananya,21.0,M,
116,Kabir,21.0,nan,
117,Aryan,,nan,10.0
118,Kabir,21.0,nan,
119,Saanvi,,nan,
120,Pooja,21.0,F,10.0
121,Zoya,,nan,10.0
122,Ayaan,,F,10.0
123,Saanvi,21.0,F,10.0
124,Aryan,21.0,F,10.0
125,Ayaan,21.0,nan,
126,Meera,21.0,nan,10.0
127,Ayaan,21.0,nan,
128,Rahul,21.0,nan,
129,Ananya,21.0,F,10.0
130,Ananya,21.0,M,10.0
131,Saanvi,21.0,M,
132,Aryan,21.0,F,10.0
133,Kabir,21.0,nan,10.0
134,Aryan,21.0,F,10.0
135,Ananya,,M,
136,Saanvi,21.0,M,10.0
137,Ananya,21.0,M,10.0
138,Kabir,21.0,F,
139,Vikram,21.0,F,
140,Kabir,21.0,nan,10.0
141,Pooja,,F,
142,Vikram,21.0,M,10.0
143,Zoya,21.0,nan,10.0
144,nan,,M,
145,Kabir,,M,10.0
146,Meera,,F,10.0
147,Vikram,,nan,10.0
148,Vikram,21.0,F,
149,Zoya,21.0,M,10.0
150,Ayaan,,F,
151,Saanvi,,F,
152,Ayaan,21.0,M,10.0
153,Kabir,,M,10.0
154,Zoya,21.0,nan,
155,Ayaan,,F,10.0
156,Pooja,,F,
157,Pooja,21.0,nan,10.0
158,Pooja,,M,10.0
159,Pooja,21.0,nan,
160,Rahul,,nan,
161,Meera,21.0,nan,
162,Vikram,21.0,nan,
163,Pooja,21.0,M,
164,Pooja,21.0,nan,
165,Saanvi,21.0,nan,
166,Ananya,21.0,M,
167,Pooja,,nan,
168,Rahul,,F,10.0
169,Ayaan,,F,
170,Vikram,21.0,nan,10.0
171,Rahul,,M,10.0
172,Vikram,,nan,
173,Ayaan,21.0,M,
174,Aryan,21.0,nan,10.0
175,Vikram,,F,10.0
176,Saanvi,21.0,M,
177,Saanvi,,nan,
178,Zoya,,F,10.0
179,nan,21.0,F,
180,nan,21.0,F,
181,Zoya,,M,
182,Vikram,21.0,M,
183,Vikram,,nan,
184,Kabir,,nan,
185,Zoya,,M,
186,Rahul,21.0,nan,
187,nan,21.0,F,
188,Rahul,,F,10.0
189,Vikram,,F,10.0
190,Vikram,21.0,nan,
191,Saanvi,21.0,M,
192,Zoya,21.0,nan,
193,Aryan,21.0,M,
194,nan,21.0,F,10.0
195,Zoya,21.0,M,
196,Vikram,21.0,nan,
197,nan,,M,
198,nan,,nan,10.0
199,Aryan,21.0,F,10.0
200,Kabir,21.0,F,
201,Ayaan,21.0,nan,10.0
202,nan,21.0,F,
203,Kabir,21.0,nan,10.0
204,Aryan,21.0,nan,10.0
205,Aryan,,M,
206,Aryan,21.0,nan,10.0
207,Pooja,,nan,
208,Ananya,,F,10.0
209,Ayaan,21.0,nan,
210,Vikram,,F,
211,nan,,nan,
212,Saanvi,21.0,F,
213,nan,,nan,
214,Aryan,21.0,nan,10.0
215,Pooja,,F,10.0
216,nan,,nan,
217,Ananya,21.0,F,10.0
218,nan,,nan,10.0
219,Kabir,,nan,10.0
220,Ananya,21.0,M,
221,Saanvi,21.0,M,
222,Ayaan,,nan,10.0
223,Vikram,,M,
224,Rahul,,F,10.0
225,Vikram,,M,
226,Zoya,,F,10.0
227,Saanvi,,F,
228,Vikram,21.0,M,
229,Vikram,,nan,
230,Aryan,21.0,nan,10.0
231,Pooja,,nan,
232,nan,21.0,M,
233,Meera,21.0,M,10.0
234,Vikram,21.0,nan,
235,nan,,M,10.0
236,Aryan,21.0,nan,
237,Pooja,,nan,10.0
238,Ananya,,nan,10.0
239,Ananya,,M,10.0
240,Kabir,,nan,10.0
241,Meera,21.0,F,
242,Pooja,,nan,10.0
243,Meera,,F,10.0
244,Ananya,,F,
245,Vikram,,nan,
246,nan,21.0,F,
247,Vikram,21.0,M,10.0
248,Rahul,21.0,nan,
249,Pooja,,M,
250,Ananya,21.0,nan,10.0
251,Ayaan,,M,10.0
252,Rahul,,nan,
253,Meera,21.0,M,10.0
254,Meera,21.0,F,
255,Zoya,,nan,
256,Vikram,21.0,M,10.0
257,nan,21.0,M,10.0
258,Vikram,,nan,10.0
259,nan,,nan,
260,Saanvi,21.0,M,10.0
261,Saanvi,,nan,10.0
262,Vikram,,nan,
263,Vikram,,nan,
264,Meera,,nan,
265,nan,21.0,F,
266,Rahul,21.0,M,10.0
267,Kabir,21.0,F,
268,Aryan,,nan,
269,Ayaan,21.0,M,
270,Kabir,,nan,
271,Pooja,21.0,nan,
272,Rahul,,F,10.0
273,Vikram,,F,
274,Ayaan,21.0,nan,10.0
275,nan,21.0,F,10.0
276,Kabir,,M,10.0
277,Vikram,,nan,10.0
278,Meera,21.0,M,
279,Aryan,,M,10.0
280,Saanvi,,M,
281,Ayaan,,F,10.0
282,Kabir,,nan,10.0
283,Meera,21.0,F,10.0
284,Meera,21.0,M,10.0
285,Vikram,21.0,F,10.0
286,Ayaan,,M,10.0
287,Ananya,,F,10.0
288,Meera,21.0,M,
289,Ayaan,21.0,nan,
290,Pooja,,M,
291,Saanvi,,F,10.0
292,Rahul,21.0,M,10.0
293,Rahul,,M,
294,Ayaan,,nan,10.0
295,Ananya,21.0,F,10.0
296,Rahul,,nan,10.0
297,Ananya,21.0,M,10.0
298,Ayaan,21.0,F,10.0
299,Aryan,,nan,10.0
300,Ananya,21.0,nan,
301,nan,,nan,
302,nan,21.0,nan,
303,Saanvi,21.0,F,10.0
304,Kabir,,F,
305,Zoya,21.0,F,10.0
306,Rahul,21.0,M,
307,Meera,,nan,
308,Zoya,,nan,
309,Vikram,21.0,M,
310,Ayaan,,F,10.0
311,Kabir,21.0,M,10.0
312,Aryan,,nan,
313,Rahul,21.0,nan,
314,Aryan,21.0,nan,10.0
315,Meera,21.0,nan,10.0
316,Pooja,,M,
317,Vikram,21.0,M,10.0
318,Zoya,21.0,F,
319,Saanvi,21.0,M,10.0
320,Meera,,nan,
321,Zoya,21.0,F,10.0
322,nan,21.0,F,
323,Pooja,21.0,F,10.0
324,Aryan,21.0,nan,
325,Rahul,21.0,nan,
326,Meera,,M,
327,Meera,,F,10.0
328,Ananya,,nan,
329,Pooja,,F,
330,nan,21.0,M,
331,Zoya,,M,10.0
332,Ayaan,,F,10.0
333,Pooja,21.0,nan,10.0
334,Kabir,21.0,nan,10.0
335,Vikram,,nan,
336,Ayaan,21.0,nan,
337,Ananya,21.0,F,
338,Aryan,,F,
339,Meera,21.0,nan,
340,nan,,nan,10.0
341,Pooja,,F,
342,Zoya,21.0,M,
343,nan,,nan,10.0
344,Ayaan,,F,10.0
345,Saanvi,21.0,F,
346,Kabir,21.0,M,10.0
347,Kabir,,F,10.0
348,Pooja,,F,
349,Ananya,21.0,nan,
350,Ananya,,nan,10.0
351,Aryan,21.0,F,
352,nan,,M,10.0
353,Vikram,,F,
354,Ananya,21.0,nan,
355,Ananya,21.0,F,
356,Aryan,21.0,M,10.0
357,Ayaan,21.0,nan,10.0
358,Ayaan,21.0,M,10.0
359,nan,,F,10.0
360,Meera,,F,
361,Rahul,,nan,
362,Pooja,21.0,nan,10.0
363,Vikram,21.0,nan,
364,Rahul,21.0,M,10.0
365,Kabir,,nan,10.0
366,Rahul,21.0,F,
367,Rahul,,M,10.0
368,Aryan,21.0,nan,10.0
369,Aryan,21.0,nan,10.0
370,Meera,21.0,F,
371,Ayaan,,F,
372,Saanvi,21.0,M,10.0
373,nan,,nan,
374,Meera,,F,10.0
375,Saanvi,,nan,
376,Rahul,,M,
377,Meera,21.0,nan,10.0
378,Ayaan,21.0,F,10.0
379,Saanvi,,M,10.0
380,Ananya,,M,10.0
381,Pooja,,M,
382,Zoya,,M,10.0
383,Saanvi,21.0,F,
384,nan,,nan,
385,Saanvi,,F,
386,Ananya,21.0,M,
387,Kabir,21.0,M,10.0
388,Vikram,,nan,10.0
389,Meera,21.0,F,
390,Pooja,,nan,
391,Ananya,21.0,F,10.0
392,Zoya,,F,
393,Meera,,M,10.0
394,Vikram,21.0,M,10.0
395,nan,21.0,nan,10.0
396,Pooja,21.0,nan,10.0
397,Rahul,,nan,
398,Ayaan,21.0,nan,
399,Pooja,,M,10.0
400,Ayaan,,nan,10.0
401,Vikram,21.0,F,
402,Zoya,,nan,10.0
403,Pooja,,M,
404,Rahul,,nan,10.0
405,Pooja,21.0,nan,10.0
406,Aryan,,M,
407,Zoya,,F,10.0
408,Vikram,,M,10.0
409,Saanvi,,F,
410,nan,,M,10.0
411,Zoya,21.0,F,10.0
412,Meera,,nan,10.0
413,Kabir,21.0,F,10.0
414,Kabir,,nan,
415,nan,,M,10.0
416,Vikram,,F,10.0
417,Meera,,F,10.0
418,Vikram,,M,10.0
419,Ayaan,,M,
420,Ayaan,,F,
421,nan,21.0,F,
422,Saanvi,21.0,nan,10.0
423,Rahul,,nan,10.0
424,Pooja,,M,
425,Aryan,,F,
426,Ayaan,21.0,nan,
427,Zoya,21.0,F,10.0
428,Zoya,21.0,F,10.0
429,Rahul,21.0,M,10.0
430,Aryan,,M,
431,Meera,,M,10.0
432,nan,21.0,M,10.0
433,Ayaan,,nan,
434,Kabir,,M,10.0
435,Rahul,21.0,nan,
436,Ayaan,21.0,nan,10.0
437,Kabir,21.0,F,
438,Saanvi,21.0,F,
439,Ananya,,F,10.0
440,Kabir,,F,10.0
441,Ananya,,M,
442,Aryan,21.0,F,
443,Pooja,,F,10.0
444,Pooja,21.0,nan,
445,Aryan,,F,
446,Meera,,F,10.0
447,Kabir,21.0,nan,10.0
448,Rahul,,M,10.0
449,Ayaan,,M,
450,Vikram,,M,10.0
451,Pooja,21.0,M,
452,Vikram,21.0,M,10.0
453,Saanvi,21.0,M,10.0
454,Zoya,21.0,nan,10.0
455,Pooja,21.0,F,
456,nan,21.0,nan,10.0
457,Pooja,,M,10.0
458,Ananya,21.0,nan,10.0
459,Pooja,21.0,F,
460,Kabir,,M,
461,Saanvi,,M,10.0
462,Zoya,,F,
463,Kabir,,F,10.0
464,Pooja,,nan,
465,Vikram,21.0,M,10.0
466,Kabir,,nan,10.0
467,Pooja,,M,
468,Saanvi,21.0,M,
469,Vikram,21.0,M,
470,Kabir,21.0,nan,10.0
471,Rahul,,nan,10.0
472,Saanvi,21.0,F,
473,Vikram,21.0,F,10.0
474,Meera,,F,10.0
475,Rahul,,F,
476,Zoya,,M,
477,Ananya,,nan,
478,Ananya,,nan,
479,Meera,21.0,nan,
480,Ayaan,,M,10.0
481,Ayaan,21.0,nan,10.0
482,Meera,21.0,nan,10.0
483,Ananya,21.0,nan,
484,nan,,F,10.0
485,Aryan,,M,
486,Ayaan,21.0,M,10.0
487,Aryan,21.0,nan,
488,Zoya,21.0,nan,
489,Pooja,,F,10.0
490,nan,,F,10.0
491,Zoya,21.0,nan,
492,Rahul,,nan,
493,Kabir,,nan,
494,Saanvi,21.0,F,10.0
495,Vikram,21.0,F,10.0
496,Rahul,21.0,M,10.0
497,Ananya,21.0,F,
498,Zoya,21.0,nan,10.0
499,Zoya,,F,10.0
500,Ayaan,,nan,
501,Meera,,F,10.0
502,Meera,,F,
503,Vikram,,M,
504,Zoya,,M,10.0
505,Ananya,,F,
506,Ayaan,,M,10.0
507,nan,21.0,nan,10.0
508,Saanvi,21.0,F,
509,Meera,,F,
510,Ayaan,,F,10.0
511,Pooja,21.0,F,10.0
512,Ananya,21.0,M,10.0
513,Ayaan,,F,10.0
514,Pooja,21.0,nan,10.0
515,Zoya,21.0,F,
516,nan,21.0,M,
517,Ayaan,,nan,10.0
518,Saanvi,,M,
519,nan,,F,
520,Pooja,21.0,nan,10.0
521,Saanvi,,F,
522,nan,,M,
523,Zoya,,nan,
524,Pooja,,F,10.0
525,Zoya,,nan,10.0
526,Ananya,,F,10.0
527,Vikram,,F,10.0
528,Kabir,,M,10.0
529,Zoya,21.0,M,10.0
530,Aryan,21.0,nan,
531,Ayaan,21.0,F,
532,nan,,nan,
533,Vikram,21.0,M,10.0
534,Kabir,,M,10.0
535,Ananya,,M,10.0
536,Kabir,,F,10.0
537,Kabir,21.0,M,10.0
538,Aryan,,nan,
539,nan,,F,
540,Pooja,21.0,nan,10.0
541,Ayaan,,F,10.0
542,Saanvi,21.0,M,10.0
543,Zoya,21.0,nan,
544,Vikram,,F,
545,Meera,,F,
546,Meera,21.0,F,10.0
547,nan,,F,10.0
548,Ayaan,,M,10.0
549,Pooja,21.0,F,10.0
550,Meera,21.0,M,10.0
551,nan,,nan,10.0
552,Vikram,,M,
553,Ayaan,21.0,F,
554,Meera,21.0,nan,10.0
555,Ayaan,21.0,M,10.0
556,nan,21.0,M,
557,Kabir,21.0,M,
558,Saanvi,21.0,M,
559,Saanvi,21.0,M,
560,Rahul,,nan,
561,Pooja,21.0,F,10.0
562,Saanvi,21.0,F,
563,Ayaan,21.0,F,10.0
564,nan,,F,
565,Zoya,,F,10.0
566,nan,21.0,F,10.0
567,Ananya,,nan,
568,Meera,21.0,M,10.0
569,Aryan,,F,
570,Ayaan,,nan,
571,Ayaan,,F,
572,Aryan,21.0,nan,10.0
573,Aryan,,F,10.0
574,nan,21.0,F,
575,Ayaan,,M,10.0
576,nan,21.0,F,
577,Rahul,,M,
578,Aryan,21.0,M,
579,Vikram,,M,
580,Saanvi,,M,
581,Zoya,21.0,M,10.0
582,Zoya,,F,10.0
583,Vikram,21.0,F,10.0
584,Ayaan,,M,
585,Saanvi,,nan,
586,Rahul,,nan,
587,Aryan,21.0,M,
588,Aryan,,F,10.0
589,Ayaan,21.0,F,
590,Aryan,21.0,nan,10.0
591,Vikram,,nan,
592,Rahul,21.0,M,
593,Meera,,F,
594,Ayaan,,F,
595,Ayaan,,F,10.0
596,Saanvi,21.0,F,10.0
597,Meera,,nan,
598,Rahul,,F,10.0
599,Pooja,21.0,nan,
600,Vikram,21.0,F,
601,Meera,21.0,nan,
602,Rahul,,F,
603,Ananya,,nan,10.0
604,Ayaan,,F,10.0
605,Meera,,nan,10.0
606,Pooja,21.0,F,10.0
607,nan,,nan,10.0
608,Saanvi,,nan,
609,Zoya,,M,10.0
610,Kabir,21.0,F,10.0
611,nan,,F,
612,Vikram,,M,10.0
613,Meera,21.0,F,10.0
614,nan,21.0,M,10.0
615,Ayaan,,M,10.0
616,nan,,nan,10.0
617,Kabir,21.0,M,10.0
618,Meera,21.0,nan,10.0
619,Ayaan,21.0,M,
620,Rahul,,nan,
621,Pooja,21.0,F,
622,Aryan,,F,10.0
623,Rahul,,M,10.0
624,Ayaan,,nan,
625,Rahul,21.0,M,
626,Aryan,21.0,F,
627,Ananya,21.0,F,
628,Ananya,,M,
629,Kabir,,F,10.0
630,Meera,,F,10.0
631,Kabir,21.0,nan,
632,Vikram,21.0,F,10.0
633,Rahul,,nan,
634,nan,,F,10.0
635,Ayaan,21.0,F,
636,Ananya,21.0,M,10.0
637,Meera,21.0,nan,
638,Kabir,,F,10.0
639,Ayaan,,F,10.0
640,Rahul,,M,10.0
641,Rahul,21.0,nan,
642,Saanvi,,nan,10.0
643,Vikram,21.0,nan,
644,Ayaan,,nan,
645,nan,21.0,F,
646,Vikram,21.0,F,10.0
647,Zoya,21.0,F,10.0
648,nan,21.0,M,
649,nan,,nan,10.0
650,Aryan,,F,
651,Saanvi,21.0,nan,
652,Ayaan,21.0,M,
653,Meera,,nan,
654,Vikram,21.0,F,
655,Meera,21.0,M,10.0
656,Vikram,21.0,nan,10.0
657,nan,,M,
658,nan,21.0,M,10.0
659,Ayaan,,M,10.0
660,Kabir,21.0,nan,
661,Ayaan,,M,10.0
662,Aryan,21.0,M,10.0
663,nan,21.0,nan,
664,Ananya,,F,
665,Aryan,21.0,M,10.0
666,Vikram,,F,10.0
667,Pooja,,nan,
668,Meera,,M,10.0
669,Meera,21.0,M,
670,Kabir,21.0,M,10.0
671,Rahul,21.0,nan,
672,Rahul,21.0,nan,
673,Ananya,,nan,10.0
674,Aryan,,F,
675,Ananya,,M,10.0
676,Meera,21.0,nan,10.0
677,Kabir,21.0,F,10.0
678,Rahul,,nan,
679,Vikram,,F,
680,Kabir,21.0,F,10.0
681,Aryan,,nan,10.0
682,Kabir,,M,10.0
683,Ayaan,,M,10.0
684,nan,21.0,nan,10.0
685,Meera,21.0,M,
686,Aryan,,F,10.0
687,Kabir,,M,10.0
688,Rahul,,nan,
689,nan,21.0,M,10.0
690,Pooja,21.0,M,
691,Vikram,21.0,nan,
692,Ananya,21.0,nan,10.0
693,Rahul,,F,10.0
694,Ananya,,F,
695,Pooja,21.0,nan,10.0
696,Aryan,21.0,nan,10.0
697,Vikram,21.0,M,
698,Pooja,,nan,
699,Vikram,21.0,F,10.0
700,Ananya,,nan,
701,Kabir,,F,10.0
702,Aryan,21.0,nan,10.0
703,Ayaan,21.0,M,
704,Rahul,,nan,10.0
705,Aryan,21.0,F,10.0
706,Rahul,21.0,M,
707,nan,21.0,nan,10.0
708,Saanvi,21.0,F,10.0
709,Rahul,,F,10.0
710,Rahul,21.0,F,
711,nan,21.0,M,10.0
712,Zoya,21.0,M,10.0
713,Saanvi,21.0,F,10.0
714,Meera,21.0,M,
715,Aryan,21.0,F,
716,Pooja,,F,10.0
717,Aryan,,M,
718,Pooja,21.0,F,
719,nan,21.0,F,
720,nan,,F,
721,Rahul,,F,
722,nan,,M,
723,Ayaan,,nan,10.0
724,Saanvi,,M,10.0
725,Ananya,21.0,M,
726,Pooja,,nan,10.0
727,Vikram,,F,10.0
728,Pooja,,M,10.0
729,Meera,21.0,nan,10.0
730,Aryan,21.0,M,
731,nan,21.0,F,
732,Aryan,21.0,nan,
733,Pooja,,M,10.0
734,Pooja,21.0,F,10.0
735,Pooja,,F,10.0
736,Kabir,,F,10.0
737,Rahul,,nan,10.0
738,Vikram,,nan,
739,Ananya,,nan,10.0
740,Kabir,21.0,F,
741,nan,,M,10.0
742,Pooja,21.0,F,
743,nan,21.0,nan,
744,Pooja,21.0,M,10.0
745,Saanvi,,F,
746,Pooja,21.0,M,
747,Rahul,21.0,M,10.0
748,Zoya,,nan,
749,Kabir,21.0,M,10.0
750,Meera,21.0,nan,10.0
751,Meera,,M,10.0
752,Ananya,21.0,F,10.0
753,Ananya,21.0,nan,
754,Ayaan,21.0,M,
755,Kabir,,F,
756,Ayaan,,nan,
757,Saanvi,21.0,M,
758,Kabir,,F,
759,Ananya,,nan,
760,Zoya,,M,10.0
761,Meera,,F,10.0
762,Pooja,,F,10.0
763,Meera,,M,
764,Aryan,,F,10.0
765,Pooja,21.0,nan,10.0
766,Rahul,21.0,F,10.0
767,Ayaan,,F,10.0
768,Saanvi,,nan,
769,Kabir,,M,
770,Saanvi,21.0,nan,10.0
771,Ayaan,21.0,M,
772,Ayaan,,M,
773,Vikram,21.0,nan,
774,Zoya,,F,
775,Meera,,M,10.0
776,nan,21.0,nan,10.0
777,Vikram,21.0,F,
778,Vikram,21.0,M,10.0
779,Ayaan,21.0,nan,
780,Saanvi,,M,
781,Ananya,,nan,
782,Zoya,21.0,M,
783,Vikram,,M,10.0
784,Pooja,21.0,nan,
785,Aryan,,M,
786,Ayaan,21.0,F,
787,Ayaan,,M,10.0
788,Aryan,,M,
789,nan,21.0,nan,10.0
790,Ayaan,,M,
791,Aryan,21.0,M,10.0
792,Ananya,,nan,
793,nan,,nan,
794,Meera,21.0,M,
795,Pooja,,M,10.0
796,Pooja,21.0,nan,10.0
797,Pooja,21.0,F,10.0
798,Rahul,21.0,F,10.0
799,Zoya,21.0,M,
800,Vikram,,nan,
801,Pooja,,F,
802,Aryan,,F,10.0
803,Rahul,,M,
804,nan,21.0,M,10.0
805,Pooja,,F,
806,Saanvi,,F,
807,Ayaan,,F,
808,Saanvi,21.0,F,
809,Kabir,21.0,F,
810,Rahul,,M,10.0
811,Ayaan,,F,10.0
812,Meera,,nan,
813,Pooja,21.0,F,
814,Meera,21.0,M,
815,Rahul,,nan,
816,Ananya,21.0,M,
817,Ayaan,,M,
818,Pooja,21.0,nan,10.0
819,Kabir,,M,
820,Ananya,21.0,nan,10.0
821,Saanvi,21.0,nan,
822,Kabir,,F,
823,Vikram,,nan,
824,Ananya,21.0,nan,10.0
825,Rahul,,M,
826,Rahul,,F,
827,Meera,21.0,M,
828,Aryan,21.0,nan,
829,Ananya,21.0,M,10.0
830,Saanvi,21.0,F,10.0
831,Aryan,21.0,nan,10.0
832,nan,,nan,10.0
833,Meera,,M,
834,Vikram,,M,10.0
835,nan,,F,10.0
836,Aryan,,nan,10.0
837,nan,,M,10.0
838,Meera,,nan,10.0
839,Vikram,,M,
840,Kabir,,M,10.0
841,nan,21.0,M,10.0
842,Kabir,21.0,F,10.0
843,Aryan,21.0,M,10.0
844,nan,21.0,nan,
845,Zoya,21.0,F,10.0
846,Vikram,,nan,
847,Ayaan,21.0,F,
848,nan,21.0,nan,
849,Ananya,21.0,M,
850,Kabir,,nan,
851,Ananya,21.0,nan,10.0
852,Pooja,,F,10.0
853,Zoya,,F,10.0
854,Meera,,nan,10.0
855,Ananya,21.0,nan,
856,Zoya,21.0,F,
857,Kabir,21.0,nan,
858,Ananya,21.0,F,10.0
859,Ananya,21.0,F,10.0
860,Rahul,21.0,nan,
861,Zoya,,M,
862,Ananya,21.0,F,10.0
863,Ananya,,M,
864,Aryan,,M,
865,Saanvi,,F,
866,Meera,,F,10.0
867,Vikram,21.0,nan,
868,nan,,M,
869,Pooja,,M,10.0
870,Saanvi,,M,10.0
871,Vikram,21.0,nan,10.0
872,Ananya,21.0,nan,
873,Ayaan,,nan,
874,Pooja,,F,10.0
875,Ananya,21.0,M,
876,Pooja,21.0,F,
877,Meera,,M,
878,Aryan,,F,10.0
879,Ayaan,21.0,F,
880,Rahul,,nan,10.0
881,nan,,F,10.0
882,Pooja,21.0,F,10.0
883,Zoya,,nan,
884,nan,,M,10.0
885,Ayaan,21.0,M,
886,Ayaan,21.0,F,10.0
887,Kabir,21.0,nan,10.0
888,Kabir,21.0,nan,
889,Meera,21.0,nan,
890,Rahul,,F,
891,Saanvi,21.0,nan,
892,Ayaan,,F,
893,Kabir,21.0,F,
894,Rahul,,nan,10.0
895,Meera,21.0,nan,
896,Saanvi,,M,
897,Ananya,21.0,F,
898,Aryan,21.0,F,10.0
899,nan,,F,10.0
900,Pooja,21.0,F,
901,nan,,F,10.0
902,Ananya,21.0,M,
903,Aryan,,nan,10.0
904,Ananya,21.0,M,
905,nan,,F,10.0
906,Kabir,,M,10.0
907,Rahul,21.0,nan,
908,Pooja,,F,
909,Pooja,,M,10.0
910,Ayaan,,F,10.0
911,Aryan,,F,10.0
912,Rahul,,F,10.0
913,Rahul,,F,
914,Ayaan,21.0,F,10.0
915,Aryan,21.0,F,
916,nan,21.0,nan,
917,nan,,nan,10.0
918,Ayaan,21.0,nan,
919,Meera,21.0,M,
920,Ananya,21.0,nan,
921,Meera,,F,10.0
922,Kabir,,M,10.0
923,Aryan,21.0,nan,
924,Zoya,21.0,F,10.0
925,Ananya,21.0,F,10.0
926,Vikram,,F,
927,Pooja,,nan,
928,Rahul,21.0,F,10.0
929,Pooja,,nan,10.0
930,Ayaan,21.0,nan,10.0
931,Meera,21.0,F,
932,Vikram,21.0,M,
933,Zoya,,M,
934,Zoya,21.0,F,
935,Pooja,21.0,M,10.0
936,Ayaan,,nan,10.0
937,Ayaan,21.0,M,
938,Saanvi,,F,10.0
939,Pooja,,M,
940,Rahul,,M,
941,Vikram,,nan,10.0
942,Meera,21.0,M,
943,Saanvi,21.0,M,10.0
944,Rahul,,nan,
945,Saanvi,21.0,nan,
946,Kabir,21.0,nan,
947,Aryan,21.0,nan,10.0
948,Pooja,21.0,M,10.0
949,Kabir,21.0,nan,10.0
950,Ananya,21.0,nan,
951,Kabir,21.0,M,
952,Aryan,,F,
953,Aryan,21.0,F,10.0
954,Zoya,,F,10.0
955,Aryan,21.0,M,
956,Ananya,21.0,M,10.0
957,Pooja,,F,10.0
958,nan,,F,10.0
959,Aryan,,M,
960,Pooja,,F,10.0
961,Meera,,nan,
962,Zoya,21.0,M,
963,nan,,M,
964,nan,21.0,nan,10.0
965,Aryan,21.0,M,10.0
966,Saanvi,21.0,nan,
967,Rahul,,M,
968,Ananya,,nan,10.0
969,Ayaan,21.0,F,
970,Aryan,,nan,
971,Ananya,,M,
972,Saanvi,21.0,nan,10.0
973,nan,21.0,F,10.0
974,Aryan,,M,10.0
975,Zoya,,M,
976,Ananya,21.0,F,
977,Zoya,21.0,F,10.0
978,Meera,,M,10.0
979,Ananya,,M,10.0
980,Kabir,,nan,
981,Ayaan,,M,
